id(勿改),中文名(可修改),英文名,部位,器械,状态,说明
1740,哑铃站姿俯身单臂肱三头肌伸展,dumbbell standing bent over one arm triceps extension,上臂,哑铃,ok,
1741,哑铃站姿俯身双臂肱三头肌伸展,dumbbell standing bent over two arm triceps extension,上臂,哑铃,ok,
1742,哑铃肱三头肌后踢（鹳式站姿）,dumbbell tricep kickback with stork stance,上臂,哑铃,ok,
1743,哑铃转体卧推,dumbbell twisting bench press,上臂,哑铃,ok,
1744,健身球臂屈伸,exercise ball dip,上臂,健身球,ok,
1745,健身球坐姿肱三头肌拉伸,exercise ball seated triceps stretch,上臂,健身球,ok,
1746,健身球仰卧肱三头肌伸展,exercise ball supine triceps extension,上臂,哑铃,ok,
1747,曲杆杠法式推举（健身球）,ez bar french press on exercise ball,上臂,曲杆,ok,
1748,曲杆杠仰卧窄距肱三头肌伸展背后头,ez bar lying close grip triceps extension behind head,上臂,曲杆,ok,
1749,曲杆杠站姿法式推举,ez bar standing french press,上臂,曲杆,ok,
1750,药球仰卧胸投掷,medicine ball supine chest throw,上臂,药球,ok,
1751,杠铃定位推举,barbell pin presses,上臂,杠铃,ok,
1752,史密斯机上斜肱三头肌伸展,smith machine incline tricep extension,上臂,史密斯机,ok,
1753,三凳臂屈伸,three bench dip,上臂,徒手,ok,
1754,负重三凳臂屈伸,weighted three bench dips,上臂,负重,ok,
1755,负重肱三头肌臂屈伸,weighted tricep dips,上臂,负重,ok,
1756,杠铃单腿硬拉,barbell single leg deadlift,大腿,杠铃,ok,
1757,哑铃单腿硬拉,dumbbell single leg deadlift,大腿,哑铃,ok,
1758,助力仰卧起坐,assisted sit-up,腰腹,助力,ok,
1759,单腿深蹲（单腿深蹲）,single leg squat (pistol) male,大腿,徒手,ok,
1760,哑铃高脚杯深蹲,dumbbell goblet squat,大腿,哑铃,ok,
1761,悬垂腹斜肌抬膝,hanging oblique knee raise,腰腹,徒手,ok,
1763,肩握引体向上,shoulder grip pull-up,背部,徒手,ok,
1764,悬垂腿髋上举,hanging leg hip raise,腰腹,徒手,ok,
1765,哑铃直立划船（后视角）,dumbbell upright row (back pov),肩部,哑铃,ok,
1767,负重肱三头肌臂屈伸（高平行杠）,weighted triceps dip on high parallel bars,上臂,负重,ok,
1769,侧卧肱二头肌弯举,bodyweight side lying biceps curl,上臂,徒手,ok,
1770,肱二头肌腿集中弯举,biceps leg concentration curl,上臂,徒手,ok,
1771,跪姿肱三头肌伸展,bodyweight kneeling triceps extension,上臂,徒手,ok,
1772,肘提举反向俯卧撑,elbow lift - reverse push-up,背部,徒手,ok,
1773,单臂毛巾划船,one arm towel row,背部,徒手,ok,
1774,侧臀桥髋外展,side bridge hip abduction,大腿,徒手,ok,
1775,侧平板支撑髋内收,side plank hip adduction,大腿,徒手,ok,
2133,哑铃农夫行走,farmers walk,大腿,哑铃,ok,
2135,负重前平板支撑,weighted front plank,腰腹,负重,ok,
2136,哑铃古巴推举（第2式）,dumbbell cuban press v. 2,肩部,哑铃,ok,
2137,哑铃阿诺德推举,dumbbell arnold press,肩部,哑铃,ok,
2138,健身车跑步（第3式）,stationary bike run v. 3,有氧,健身车,ok,
2139,上肢功率车手,hands bike,胸部,上肢功率车,ok,
2141,椭圆机行走交叉训练器,walk elliptical cross trainer,有氧,椭圆机,ok,
2142,滑雪机滑雪,ski ergometer,上臂,滑雪机,ok,
2143,哑铃站姿环绕世界,dumbbell standing around world,肩部,哑铃,ok,
2144,绳索坐姿胸推,cable seated chest press,胸部,绳索,ok,
2186,曲杆下斜肱三头肌伸展,ez barbell decline triceps extension,上臂,曲杆,ok,
2187,杠铃反向窄距卧推,barbell reverse close-grip bench press,上臂,杠铃,ok,
2188,哑铃坐姿肱三头肌伸展,dumbbell seated triceps extension,上臂,哑铃,ok,
2189,双哑铃坐姿肱三头肌伸展,dumbbells seated triceps extension,上臂,哑铃,ok,
2202,滚轮髋部拉伸,roller hip stretch,大腿,滚轮,ok,
2203,滚轮坐姿肩屈肌下压肌后缩肌,roller seated shoulder flexor depresor retractor,胸部,滚轮,ok,
2204,滚轮身体锯式,roller body saw,腰腹,滚轮,ok,
2205,滚轮髋背阔肌拉伸,roller hip lat stretch,大腿,滚轮,ok,
2206,滚轮反向卷腹,roller reverse crunch,腰腹,滚轮,ok,
2207,滚轮侧背阔肌拉伸,roller side lat stretch,背部,滚轮,ok,
2208,滚轮背部拉伸,roller back stretch,背部,滚轮,ok,
2209,滚轮坐姿单腿肩屈肌下压肌后缩肌,roller seated single leg shoulder flexor depresor retractor,胸部,滚轮,ok,
2271,左钩式拳击,left hook. boxing,肩部,徒手,ok,
2285,器械仰卧上拉,lever pullover,背部,器械,ok,
2286,器械髋伸展（第2式）,lever hip extension v. 2,大腿,器械,ok,
2287,器械交替腿举,lever alternate leg press,大腿,器械,ok,
2288,器械握手,lever gripper hands,前臂,器械,ok,
2289,器械小腿推举,lever calf press,小腿,器械,ok,
2292,哑铃后束上举,dumbbell rear delt raise,肩部,哑铃,ok,
2293,哑铃站姿佐特曼牧师凳弯举,dumbbell standing zottman preacher curl,上臂,哑铃,ok,
2294,哑铃佐特曼牧师凳弯举,dumbbell zottman preacher curl,上臂,哑铃,ok,
2297,健身球卷腹（全程幅度手背后头）,stability ball crunch (full range hands behind head),腰腹,健身球,ok,
2298,倒立划船（凳）,inverted row on bench,背部,徒手,ok,
2300,倒立划船屈膝,inverted row bent knees,背部,徒手,ok,
2311,台阶机行走,walking on stepmill,有氧,台阶机,ok,
2312,仰卧肘膝,lying elbow to knee,腰腹,徒手,ok,
2315,器械旋转小腿,lever rotary calf,小腿,器械,ok,
2317,哑铃坐姿屈臂侧平举,dumbbell seated bent arm lateral raise,肩部,哑铃,ok,
2318,器械肩推（第3式）,lever shoulder press v. 3,肩部,器械,ok,
2327,哑铃反握划船,dumbbell reverse grip row (female),背部,哑铃,ok,
2328,健身球窄俯卧撑,narrow push-up on exercise ball,上臂,健身球,ok,
2329,脊柱转体,spine twist,腰腹,徒手,ok,
2330,绳索背阔肌下拉全程幅度动作,cable lat pulldown full range of motion,背部,绳索,ok,
2331,器械交叉训练器,cycle cross trainer,有氧,器械,ok,
2333,臂吊带悬垂直腿,arm slingers hanging straight legs,腰腹,徒手,ok,
2334,雪橇机仰卧小腿推举,sled lying calf press,小腿,雪橇机,ok,
2335,器械坐姿小腿推举,lever seated calf press,小腿,器械,ok,
2355,臂吊带悬垂屈膝腿,arm slingers hanging bent knee legs,腰腹,徒手,ok,
2363,宽距胸臂屈伸（高平行杠）,wide-grip chest dip on high parallel bars,胸部,徒手,ok,
2364,器械宽距胸臂屈伸（跪姿）,assisted wide-grip chest dip (kneeling),胸部,器械,ok,
2368,分腿蹲,split squats,大腿,徒手,ok,
2371,负重俄罗斯转体（第2式）,weighted russian twist v. 2,腰腹,负重,ok,
2397,哑铃斯科特推举,dumbbell scott press,肩部,哑铃,ok,
2398,窄距俯卧撑（跪姿）,close-grip push-up (on knees),上臂,徒手,ok,
2399,绳索坐姿转体,cable seated twist,腰腹,绳索,ok,
2400,反向腿弯举（引体向上绳索器械）,inverse leg curl (on pull-up cable machine),大腿,徒手,ok,
2401,哑铃肱二头肌弯举（臂托）,dumbbell biceps curl (with arm blaster),上臂,哑铃,ok,
2402,哑铃锤式弯举（臂托）,dumbbell hammer curls (with arm blaster),上臂,哑铃,ok,
2403,哑铃交替肱二头肌弯举（臂托）,dumbbell alternate biceps curl (with arm blaster),上臂,哑铃,ok,
2404,曲杆杠肱二头肌弯举（臂托）,ez-bar biceps curl (with arm blaster),上臂,曲杆,ok,
2405,绳索肱三头肌下压（V字杠·臂托）,cable triceps pushdown (v-bar) (with arm blaster),上臂,绳索,ok,
2407,杠铃肱二头肌弯举（臂托）,barbell biceps curl (with arm blaster),上臂,杠铃,ok,
2414,杠铃站姿集中弯举,barbell standing concentration curl,上臂,杠铃,ok,
2429,蛙式卷腹,frog crunch,腰腹,徒手,ok,
2432,曲杆杠窄距卧推,ez-bar close-grip bench press,上臂,曲杆,ok,
2459,轮胎翻转,tire flip,大腿,轮胎,ok,
2462,胸臂屈伸（直杠）,chest dip on straight bar,胸部,徒手,ok,
2464,绳索蒂博多皮划艇划船,cable thibaudeau kayak row,背部,绳索,ok,
2466,臀桥登山跑（交叉身体）,bridge - mountain climber (cross body),腰腹,徒手,ok,
2470,哑铃仰卧（地面后束上举）,dumbbell lying on floor rear delt raise,肩部,哑铃,ok,
2567,坐姿梨状肌拉伸,seated piriformis stretch,大腿,徒手,ok,
2571,摇摆蛙式拉伸,rocking frog stretch,大腿,徒手,ok,
2611,器械水平单腿推举,lever horizontal one leg press,大腿,器械,ok,
2612,战绳跳跃绳,jump rope,有氧,战绳,ok,
2616,绳索侧向下拉（V字杠）,cable lateral pulldown with v-bar,背部,绳索,ok,
2705,哑铃仰卧旋前（地面）,dumbbell lying pronation on floor,前臂,哑铃,ok,
2706,哑铃仰卧旋后（地面）,dumbbell lying supination on floor,前臂,哑铃,ok,
2736,器械反握侧向下拉,lever reverse grip lateral pulldown,背部,器械,ok,
2741,曲杆站姿宽距肱二头肌弯举,ez-barbell standing wide grip biceps curl,上臂,曲杆,ok,
2796,哑铃登台阶弓步,dumbbell step-up lunge,大腿,哑铃,ok,
2798,杠铃深蹲跳跃台阶后弓步,barbell squat jump step rear lunge,大腿,杠铃,ok,
2799,杠铃坐姿交替抬腿,barbell sitted alternate leg raise,腰腹,杠铃,ok,
2800,杠铃坐姿交替抬腿（女）,barbell sitted alternate leg raise (female),腰腹,杠铃,ok,
2802,转体抬腿（女）,twisted leg raise,腰腹,徒手,ok,
2803,哑铃支撑深蹲,dumbbell supported squat,大腿,哑铃,ok,
2805,哑铃单腿硬拉（踏板支撑）,dumbbell single leg deadlift with stepbox support,大腿,哑铃,ok,
2808,哑铃相扑穿越拉,dumbbell sumo pull through,大腿,哑铃,ok,
2810,杠铃分腿蹲（第2式）,barbell split squat v. 2,大腿,杠铃,ok,
2812,哑铃登台阶分腿蹲,dumbbell step-up split squat,大腿,哑铃,ok,
2963,队长椅直腿上举,captains chair straight leg raise,腰腹,徒手,ok,
2987,负重窄距反握引体向上（臂屈伸框）,weighted close grip chin-up on dip cage,背部,负重,ok,
3006,阻力带坐姿髋外展,resistance band seated hip abduction,大腿,阻力带,ok,
3007,阻力带腿屈伸,resistance band leg extension,大腿,阻力带,ok,
3010,曲杆杠仰卧屈臂仰卧上拉,ez bar lying bent arms pullover,背部,曲杆,ok,
3011,上斜肩胛俯卧撑,incline scapula push up,胸部,徒手,ok,
3012,肩胛臂屈伸,scapula dips,背部,徒手,ok,
3013,低臀桥（地面）,low glute bridge on floor,大腿,徒手,ok,
3016,弯举上,curl-up,腰腹,徒手,ok,
3017,杠铃彭德雷划船,barbell pendlay row,背部,杠铃,ok,
3019,凳引体向上,bench pull-ups,背部,徒手,ok,
3021,肩胛俯卧撑,scapula push-up,胸部,徒手,ok,
3116,弹力带固定背反握下拉,band fixed back underhand pulldown,背部,弹力带,ok,
3117,弹力带固定背窄距下拉,band fixed back close grip pulldown,背部,弹力带,ok,
3119,蹲式,potty squat,腰腹,徒手,ok,
3122,阻力带坐姿肩推,resistance band seated shoulder press,肩部,阻力带,ok,
3123,阻力带坐姿肱二头肌弯举,resistance band seated biceps curl,上臂,阻力带,ok,
3124,阻力带坐姿胸推,resistance band seated chest press,胸部,阻力带,ok,
3132,蹲式（支撑）,potty squat with support,大腿,徒手,ok,
3142,史密斯机相扑深蹲,smith sumo squat,大腿,史密斯机,ok,
3144,阻力带坐姿直背划船,resistance band seated straight back row,背部,阻力带,ok,
3145,俯卧撑加强,push-up plus,胸部,徒手,ok,
3147,骨盆倾斜,pelvic tilt,腰腹,徒手,ok,
3156,站姿窄距单臂划船,bodyweight standing close-grip one arm row,背部,徒手,ok,
3158,站姿窄距划船,bodyweight standing close-grip row,背部,徒手,ok,
3161,站姿单臂划船（毛巾）,bodyweight standing one arm row (with towel),背部,徒手,ok,
3162,站姿单臂划船,bodyweight standing one arm row,背部,徒手,ok,
3165,站姿划船（毛巾）,bodyweight standing row (with towel),背部,徒手,ok,
3166,站姿划船,bodyweight standing row,背部,徒手,ok,
3167,蹲姿划船（毛巾）,bodyweight squatting row (with towel),背部,徒手,ok,
3168,蹲姿划船,bodyweight squatting row,背部,徒手,ok,
3193,臀腘绳肌上举,glute-ham raise,大腿,徒手,ok,
3194,杠铃弗兰肯斯坦深蹲,frankenstein squat,大腿,杠铃,ok,
3195,器械仰卧双单腿弯举,lever lying two-one leg curl,大腿,器械,ok,
3200,器械俯身划船（V字杠）,lever bent-over row with v-bar,背部,器械,ok,
3201,四分之一仰卧起坐,quarter sit-up,腰腹,徒手,ok,
3202,半程仰卧起坐,half sit-up (male),腰腹,徒手,ok,
3203,囚徒半程仰卧起坐,prisoner half sit-up (male),腰腹,徒手,ok,
3204,臂过头全程仰卧起坐,arms overhead full sit-up (male),腰腹,徒手,ok,
3211,跪姿俯卧撑,kneeling push-up (male),胸部,徒手,ok,
3212,基础体前屈,basic toe touch (male),大腿,徒手,ok,
3213,侧侧体前屈,side-to-side toe touch (male),腰腹,徒手,ok,
3214,臂分开环绕体前屈,arms apart circular toe touch (male),大腿,徒手,ok,
3215,手反向交叉握环绕体前屈,hands reversed clasped circular toe touch (male),大腿,徒手,ok,
3216,胸拍击俯卧撑,chest tap push-up (male),胸部,徒手,ok,
3217,改良印度俯卧撑,modified hindu push-up (male),胸部,徒手,ok,
3218,手交叉握环绕体前屈,hands clasped circular toe touch (male),大腿,徒手,ok,
3219,剪式跳,scissor jumps (male),有氧,徒手,ok,
3220,分腿跳,astride jumps (male),有氧,徒手,ok,
3222,半深蹲跳跃,semi squat jump (male),有氧,徒手,ok,
3223,星式跳,star jump (male),有氧,徒手,ok,
3224,开合跳,jack jump (male),有氧,徒手,ok,
3234,哑铃海特飞鸟,hyght dumbbell fly,胸部,哑铃,ok,
3235,绳索反向腿弯举,cable assisted inverse leg curl,大腿,绳索,ok,
3236,阻力带臀推（跪姿）,resistance band hip thrusts on knees (female),大腿,阻力带,ok,
3237,杠铃地雷管侧平举,landmine lateral raise,肩部,杠铃,ok,
3239,跪姿平板支撑拍击肩,kneeling plank tap shoulder (male),腰腹,徒手,ok,
3240,哑铃（墙提踵·网球球之间跪姿）,exercise ball on the wall calf raise (tennis ball between knees),小腿,哑铃,ok,
3241,哑铃（墙提踵·网球球之间踝）,exercise ball on the wall calf raise (tennis ball between ankles),小腿,哑铃,ok,
3281,史密斯机全程深蹲,smith full squat,大腿,史密斯机,ok,
3286,负重肌肉上,weighted muscle up,背部,负重,ok,
3287,肘臂屈伸,elbow dips,上臂,徒手,ok,
3288,韩国臂屈伸,korean dips,胸部,徒手,ok,
3289,极限臂屈伸,impossible dips,上臂,徒手,ok,
3290,负重单手引体向上,weighted one hand pull up,背部,负重,ok,
3291,施塔尔德推举,stalder press,上臂,徒手,ok,
3292,升降式,elevator,背部,徒手,ok,
3293,射手引体向上,archer pull up,背部,徒手,ok,
3294,射手俯卧撑,archer push up,胸部,徒手,ok,
3295,前水平保持,front lever reps,背部,徒手,ok,
3296,前水平,front lever,腰腹,徒手,ok,
3297,后水平,back lever,背部,徒手,ok,
3298,分腿俄式挺身,straddle planche,腰腹,徒手,ok,
3299,全程俄式挺身,full planche,腰腹,徒手,ok,
3300,倾斜俄式挺身,lean planche,腰腹,徒手,ok,
3301,蛙式俄式挺身,frog planche,腰腹,徒手,ok,
3302,倒立,handstand,上臂,徒手,ok,
3303,旗帜式,flag,腰腹,徒手,ok,
3304,皮肤猫式,skin the cat,背部,徒手,ok,
3305,杠铃推举深蹲,barbell thruster,肩部,杠铃,ok,
3312,负重肌肉上（杠）,weighted muscle up (on bar),背部,负重,ok,
3313,负重直杠臂屈伸,weighted straight bar dip,胸部,负重,ok,
3314,分腿马耳他十字,straddle maltese,腰腹,徒手,ok,
3315,全程马耳他十字,full maltese,腰腹,徒手,ok,
3318,摆荡360,swing 360,有氧,徒手,ok,
3327,全程俄式挺身俯卧撑,full planche push-up,胸部,徒手,ok,
3360,熊爬,bear crawl,有氧,徒手,ok,
3361,滑冰式跳,skater hops,有氧,徒手,ok,
3418,L字引体向上,l-pull-up,背部,徒手,ok,
3419,L字支撑（地面）,l-sit on floor,腰腹,徒手,ok,
3420,V字坐（地面）,v-sit on floor,腰腹,徒手,ok,
3433,游泳式踢腿（第2式）,swimmer kicks v. 2 (male),大腿,徒手,ok,
3470,向前弓步,forward lunge (male),大腿,徒手,ok,
3523,臀桥双腿（凳）,glute bridge two legs on bench (male),大腿,徒手,ok,
3533,股四头肌,quads,大腿,徒手,ok,
3541,哑铃上斜Y字上举,dumbbell incline y-raise,背部,哑铃,ok,
3542,哑铃上斜T字上举,dumbbell incline t-raise,肩部,哑铃,ok,
3544,上斜侧平板支撑,bodyweight incline side plank,腰腹,徒手,ok,
3545,哑铃上斜交替推举,dumbbell incline alternate press,胸部,哑铃,ok,
3546,哑铃坐姿交替肩,dumbbell seated alternate shoulder,肩部,哑铃,ok,
3547,哑铃坐姿肱二头肌弯举肩推,dumbbell seated biceps curl to shoulder press,上臂,哑铃,ok,
3548,哑铃单臂过头提行,dumbbell single arm overhead carry,肩部,哑铃,ok,
3552,快速足（第2式）,quick feet v. 2,大腿,徒手,ok,
3560,哑铃站姿交替锤式弯举推举,dumbbell standing alternate hammer curl and press,上臂,哑铃,ok,
3561,臀桥踏步,glute bridge march,大腿,徒手,ok,
3562,杠铃臀桥双腿（凳）,barbell glute bridge two legs on bench (male),大腿,杠铃,ok,
3563,绳索单臂下拉,cable one arm pulldown,背部,绳索,ok,
3582,弓步（跳跃）,lunge with jump,大腿,徒手,ok,
3635,哑铃对侧向前弓步,dumbbell contralateral forward lunge,大腿,哑铃,ok,
3637,健腹轮推行,wheel run,有氧,徒手,ok,
3638,推跑步,push to run,有氧,徒手,ok,
3639,屈膝仰卧转体,bent knee lying twist (male),大腿,徒手,ok,
3640,膝触卷腹,knee touch crunch,腰腹,徒手,ok,
3641,负重跪姿台阶（摆荡）,weighted kneeling step with swing,肩部,负重,ok,
3642,负重拉伸弓步,weighted stretch lunge,大腿,负重,ok,
3643,负重哥萨克深蹲,weighted cossack squats (male),大腿,负重,ok,
3644,负重弓步（摆荡）,weighted lunge with swing,大腿,负重,ok,
3645,单腿臀桥（伸展腿）,single leg bridge with outstretched leg,大腿,徒手,ok,
3655,行走高膝弓步,walking high knees lunge,有氧,徒手,ok,
3656,短跨步跑步,short stride run,有氧,徒手,ok,
3662,屈体眼镜蛇式俯卧撑,pike-to-cobra push-up,大腿,徒手,ok,
3663,反向平板支撑（腿提举）,reverse plank with leg lift,腰腹,徒手,ok,
3664,哑铃侧平板支撑（后飞鸟）,dumbbell side plank with rear fly,背部,哑铃,ok,
3665,爆发点平板支撑,power point plank,腰腹,徒手,ok,
3666,器械行走（上斜跑步机）,walking on incline treadmill,有氧,器械,ok,
3667,侧卧髋内收,side lying hip adduction (male),大腿,徒手,ok,
3669,站姿射手,standing archer,背部,徒手,ok,
3670,负重下斜仰卧起坐,weighted decline sit-up,腰腹,负重,ok,
3671,滑雪踏步,ski step,有氧,徒手,ok,
3672,背前后台阶,back and forth step,有氧,徒手,ok,
3679,仰卧起坐（臂·胸）,sit-up with arms on chest,腰腹,徒手,ok,
3697,绳索跪姿后束划船（绳）,cable kneeling rear delt row (with rope) (male),肩部,绳索,ok,
3698,尺蠖式（第2式）,inchworm v. 2,腰腹,徒手,ok,
3699,肩拍击,shoulder tap,腰腹,徒手,ok,
3758,器械站姿胸推,lever standing chest press,胸部,器械,ok,
3759,器械坐姿早安式,lever seated good morning,大腿,器械,ok,
3760,器械坐姿卷腹（第2式）,lever seated crunch v. 2,腰腹,器械,ok,
3769,屈膝礼深蹲,curtsey squat,大腿,徒手,ok,
3785,上斜俯卧撑（箱）,incline push-up (on box),胸部,徒手,ok,
3888,哑铃单臂抓举,dumbbell one arm snatch,大腿,哑铃,ok,
5201,哑铃侍者式肱二头肌弯举,dumbbell waiter biceps curl,上臂,哑铃,ok,
